Desk,Currency,Positions,NV
HK,AUZ,1076.000,1123371.06
HK,HKX,867.000,1061894.59
HK,JPX,1550.000,1521336.88
HK,SGX,1829.000,1486157.66
HK,USX,1396.000,1771488.00
LON,CNX,2049.000,1797208.22
LON,JPX,534.000,560818.69
LON,SGX,2619.000,2077985.52
LON,USX,629.000,872423.00
NY,AUZ,2163.000,2382151.98
NY,CNX,802.000,421194.91
NY,HKX,1006.000,1152012.00
NY,JPX,3144.000,3130982.06
NY,SGX,1117.000,870603.88
NY,USX,2124.000,2692796.00
SG,AUZ,442.000,425029.78
SG,CNX,1223.000,1622094.19
SG,HKX,324.000,358667.54
SG,JPX,559.000,671255.50
SG,SGX,1584.000,1953657.94
SYD,AUZ,836.000,1684326.38
SYD,CNX,283.000,360542.00
SYD,USX,684.000,582084.00
TOK,AUZ,1583.000,1776393.14
TOK,CNX,836.000,1040033.50
TOK,HKX,284.000,284568.00
TOK,JPX,1891.000,1952020.00
TOK,SGX,1570.000,1603430.53
TOK,USX,1890.000,1976967.00
