Desk,Trader,Book,BondID,Positions,NV
HK,T2511509,HK00,B17624,655,718535.00
HK,T2511509,HK02,B06888,709,638100.00
HK,T2511509,HK02,B41888,739,455988.84
HK,T2511509,HK02,B46897,412,544664.00
HK,T2511509,HK03,B20873,841,883236.88
HK,T2511509,HK03,B33825,863,1139160.00
HK,T2511509,HK04,B14632,436,490326.22
HK,T2511509,HK04,B29832,455,517230.59
HK,T6908885,HK20,B33456,371,221580.41
HK,T8406272,HK13,B14632,283,318262.19
HK,T8406272,HK13,B26229,371,418488.00
HK,T8406272,HK14,B29512,421,404836.06
HK,T8406272,HK14,B33825,162,213840.00
LON,T6092561,LON13,B28599,878,684324.25
LON,T6092561,LON14,B33456,121,72267.46
LON,T8262384,LON20,B14632,634,712997.31
LON,T8262384,LON22,B41888,986,608396.50
LON,T8262384,LON23,B26431,211,110813.12
LON,T8262384,LON24,B20873,534,560818.69
LON,T9992394,LON02,B05627,629,872423.00
LON,T9992394,LON02,B26431,875,459533.09
LON,T9992394,LON02,B41686,963,1226862.00
NY,T1784214,NY00,B05627,139,192793.00
NY,T1784214,NY01,B47923,231,329175.00
NY,T1784214,NY02,B15481,398,338698.00
NY,T1784214,NY02,B17624,987,1082739.00
NY,T1784214,NY02,B46897,230,304060.00
NY,T1784214,NY04,B46897,220,290840.00
NY,T3530032,NY11,B12794,950,1140774.12
NY,T3530032,NY13,B26431,802,421194.91
NY,T4893648,NY20,B12794,319,383059.94
NY,T4893648,NY23,B06888,368,331200.00
NY,T6044270,NY40,B05627,630,873810.00
NY,T6044270,NY41,B28599,550,428676.94
NY,T6044270,NY41,B33825,726,958320.00
NY,T6044270,NY42,B17624,965,1058605.00
NY,T6044270,NY44,B33152,648,502848.00
NY,T7598783,NY31,B47374,211,240807.98
NY,T7598783,NY33,B00520,556,557112.00
NY,T7598783,NY34,B06888,859,773100.00
NY,T7598783,NY35,B28599,567,441926.94
SG,T4811904,SG10,B07010,224,297096.56
SG,T4811904,SG13,B14954,116,128411.84
SG,T4811904,SG13,B29512,442,425029.78
SG,T4811904,SG14,B02116,663,955294.94
SG,T4811904,SG14,B12794,559,671255.50
SG,T6120150,SG21,B14632,119,133827.56
SG,T6120150,SG21,B14954,208,230255.70
SG,T6120150,SG22,B07010,999,1324997.62
SG,T7006564,SG00,B02116,362,521593.91
SG,T7006564,SG03,B28599,440,342941.53
SYD,T6669183,SYD11,B15481,684,582084.00
SYD,T6669183,SYD11,B41686,283,360542.00
SYD,T6669183,SYD13,B31426,836,1684326.38
TOK,T1100503,TOK21,B06888,226,203400.00
TOK,T1100503,TOK21,B35604,836,1040033.50
TOK,T1100503,TOK22,B26229,485,547080.00
TOK,T1100503,TOK22,B41888,689,425137.09
TOK,T1100503,TOK23,B00520,284,284568.00
TOK,T1100503,TOK24,B20873,858,901090.69
TOK,T1100503,TOK24,B47374,874,997470.06
TOK,T5299896,TOK00,B05627,437,606119.00
TOK,T5299896,TOK01,B17624,131,143707.00
TOK,T5299896,TOK01,B20873,807,847529.31
TOK,T5299896,TOK02,B17624,448,491456.00
TOK,T6583742,TOK10,B06800,130,143760.08
TOK,T6583742,TOK10,B33456,108,64503.19
TOK,T6583742,TOK12,B02116,773,1113790.25
TOK,T8546671,TOK30,B15481,968,823768.00
