Desk,Currency,Positions,NV
HK,AUZ,1076.000,1956385.19
HK,HKX,867.000,963119.88
HK,JPX,1674.000,1684111.52
HK,SGX,1829.000,2231344.53
HK,USX,1396.000,1414121.00
LON,CNX,2049.000,1419310.20
LON,JPX,534.000,527567.75
LON,SGX,4065.000,4722711.92
LON,USX,629.000,735301.00
NY,AUZ,2780.000,5360236.12
NY,CNX,2025.000,1511232.27
NY,HKX,1394.000,1368332.22
NY,JPX,3291.000,3547783.20
NY,SGX,1774.000,1632596.03
NY,USX,1731.000,1797051.00
SG,AUZ,442.000,598163.31
SG,CNX,1223.000,1386882.00
SG,HKX,324.000,303034.14
SG,JPX,1934.000,2002386.31
SG,SGX,1584.000,1443880.97
SYD,AUZ,836.000,1411979.62
SYD,CNX,283.000,195421.34
SYD,USX,684.000,582084.00
TOK,AUZ,2120.000,3650672.89
TOK,CNX,1642.000,1152770.81
TOK,HKX,919.000,628651.92
TOK,JPX,1891.000,1870151.59
TOK,SGX,1765.000,1923770.45
TOK,USX,2133.000,1928348.00
