Desk,Trader,Book,Positions,NV
HK,T2511509,HK00,655.000,701194.75
HK,T2511509,HK02,1860.000,1855596.56
HK,T2511509,HK03,1704.000,1963782.62
HK,T2511509,HK04,1015.000,1217974.00
HK,T6908885,HK20,371.000,181062.84
HK,T8406272,HK13,654.000,833068.47
HK,T8406272,HK14,583.000,655070.16
LON,T6092561,LON13,878.000,559190.69
LON,T6092561,LON14,121.000,59052.84
LON,T8262384,LON20,634.000,888882.50
LON,T8262384,LON22,986.000,865510.81
LON,T8262384,LON23,211.000,102068.91
LON,T8262384,LON24,534.000,523601.06
LON,T9992394,LON02,2467.000,1775854.16
NY,T1784214,NY00,139.000,162491.00
NY,T1784214,NY01,231.000,329175.00
NY,T1784214,NY02,2003.000,2153859.56
NY,T1784214,NY04,220.000,270034.72
NY,T3530032,NY11,950.000,1157928.62
NY,T3530032,NY13,802.000,387958.59
NY,T4893648,NY20,319.000,388820.22
NY,T4893648,NY23,368.000,363952.00
NY,T6044270,NY40,237.000,277053.00
NY,T6044270,NY41,1276.000,1308610.28
NY,T6044270,NY42,1582.000,1735885.81
NY,T6044270,NY44,648.000,510409.62
NY,T7598783,NY31,211.000,248050.33
NY,T7598783,NY33,556.000,496617.50
NY,T7598783,NY34,859.000,849551.00
NY,T7598783,NY35,567.000,361117.44
SG,T4811904,SG10,224.000,281792.00
SG,T4811904,SG13,558.000,577707.38
SG,T4811904,SG14,1222.000,1346679.56
SG,T6120150,SG20,420.000,330821.06
SG,T6120150,SG21,327.000,372093.91
SG,T6120150,SG22,999.000,1256742.00
SG,T7006564,SG00,362.000,363272.16
SG,T7006564,SG03,440.000,280232.22
SYD,T6669183,SYD11,967.000,763486.59
SYD,T6669183,SYD13,836.000,1734982.88
TOK,T1100503,TOK21,1542.000,1205679.34
TOK,T1100503,TOK22,1174.000,1175164.19
TOK,T1100503,TOK23,284.000,253667.94
TOK,T1100503,TOK24,1732.000,1868760.69
TOK,T5299896,TOK00,437.000,510853.00
TOK,T5299896,TOK01,938.000,931523.70
TOK,T5299896,TOK02,448.000,479595.78
TOK,T6583742,TOK10,238.000,200792.01
TOK,T6583742,TOK12,773.000,775716.56
TOK,T6583742,TOK13,537.000,1114456.75
TOK,T8546671,TOK30,968.000,823768.00
