Desk,Trader,Book,Positions,NV
HK,T2511509,HK02,739.000,876428.69
HK,T2511509,HK03,1704.000,1996980.00
HK,T2511509,HK04,891.000,758609.50
HK,T8406272,HK13,654.000,441196.39
HK,T8406272,HK14,583.000,630209.00
LON,T6092561,LON13,878.000,726978.00
LON,T6092561,LON14,121.000,134915.00
LON,T8262384,LON20,634.000,387486.91
LON,T8262384,LON22,986.000,1169362.25
LON,T9992394,LON02,1838.000,1330402.81
NY,T1784214,NY00,139.000,93547.00
NY,T1784214,NY02,1615.000,1803821.38
NY,T1784214,NY04,220.000,203280.00
NY,T3530032,NY11,950.000,924302.19
NY,T3530032,NY13,802.000,654418.44
NY,T4893648,NY23,368.000,453376.00
NY,T6044270,NY40,630.000,423990.00
NY,T6044270,NY41,1276.000,1413716.22
NY,T6044270,NY42,965.000,1143744.38
NY,T6044270,NY44,648.000,591367.62
NY,T7598783,NY31,211.000,221761.00
NY,T7598783,NY33,556.000,458062.31
NY,T7598783,NY34,859.000,1058288.00
NY,T7598783,NY35,567.000,469472.12
SG,T4811904,SG10,224.000,297963.34
SG,T4811904,SG13,558.000,544735.82
SG,T4811904,SG14,1222.000,1479544.44
SG,T6120150,SG21,327.000,265664.21
SG,T6120150,SG22,999.000,1328863.38
SG,T7006564,SG00,362.000,510876.22
SG,T7006564,SG03,440.000,364317.00
SYD,T6669183,SYD13,836.000,1748126.62
TOK,T1100503,TOK21,1062.000,989409.56
TOK,T1100503,TOK22,1174.000,1167785.38
TOK,T1100503,TOK23,284.000,233974.28
TOK,T1100503,TOK24,1732.000,1793734.00
TOK,T5299896,TOK00,437.000,294101.00
TOK,T5299896,TOK01,938.000,978404.77
TOK,T5299896,TOK02,448.000,530981.81
TOK,T6583742,TOK10,238.000,290460.00
TOK,T8546671,TOK30,968.000,1025112.00
