Desk,Trader,Book,BondID,Positions,NV
HK,T2511509,HK02,B41888,739,876428.69
HK,T2511509,HK03,B20873,841,857820.00
HK,T2511509,HK03,B33825,863,1139160.00
HK,T2511509,HK04,B14632,436,266473.66
HK,T2511509,HK04,B29832,455,492135.84
HK,T8406272,HK13,B14632,283,172963.39
HK,T8406272,HK13,B26229,371,268233.00
HK,T8406272,HK14,B29512,421,416369.00
HK,T8406272,HK14,B33825,162,213840.00
LON,T6092561,LON13,B28599,878,726978.00
LON,T6092561,LON14,B33456,121,134915.00
LON,T8262384,LON20,B14632,634,387486.91
LON,T8262384,LON22,B41888,986,1169362.25
LON,T9992394,LON02,B26431,875,713985.19
LON,T9992394,LON02,B41686,963,616417.62
NY,T1784214,NY00,B05627,139,93547.00
NY,T1784214,NY02,B15481,398,421482.00
NY,T1784214,NY02,B17624,987,1169819.38
NY,T1784214,NY02,B46897,230,212520.00
NY,T1784214,NY04,B46897,220,203280.00
NY,T3530032,NY11,B12794,950,924302.19
NY,T3530032,NY13,B26431,802,654418.44
NY,T4893648,NY23,B06888,368,453376.00
NY,T6044270,NY40,B05627,630,423990.00
NY,T6044270,NY41,B28599,550,455396.22
NY,T6044270,NY41,B33825,726,958320.00
NY,T6044270,NY42,B17624,965,1143744.38
NY,T6044270,NY44,B33152,648,591367.62
NY,T7598783,NY31,B47374,211,221761.00
NY,T7598783,NY33,B00520,556,458062.31
NY,T7598783,NY34,B06888,859,1058288.00
NY,T7598783,NY35,B28599,567,469472.12
SG,T4811904,SG10,B07010,224,297963.34
SG,T4811904,SG13,B14954,116,107597.82
SG,T4811904,SG13,B29512,442,437138.00
SG,T4811904,SG14,B02116,663,935665.56
SG,T4811904,SG14,B12794,559,543878.88
SG,T6120150,SG21,B14632,119,72730.20
SG,T6120150,SG21,B14954,208,192934.02
SG,T6120150,SG22,B07010,999,1328863.38
SG,T7006564,SG00,B02116,362,510876.22
SG,T7006564,SG03,B28599,440,364317.00
SYD,T6669183,SYD13,B31426,836,1748126.62
TOK,T1100503,TOK21,B06888,226,278432.00
TOK,T1100503,TOK21,B35604,836,710977.56
TOK,T1100503,TOK22,B26229,485,350655.00
TOK,T1100503,TOK22,B41888,689,817130.38
TOK,T1100503,TOK23,B00520,284,233974.28
TOK,T1100503,TOK24,B20873,858,875160.00
TOK,T1100503,TOK24,B47374,874,918574.00
TOK,T5299896,TOK00,B05627,437,294101.00
TOK,T5299896,TOK01,B17624,131,155264.77
TOK,T5299896,TOK01,B20873,807,823140.00
TOK,T5299896,TOK02,B17624,448,530981.81
TOK,T6583742,TOK10,B06800,130,170040.00
TOK,T6583742,TOK10,B33456,108,120420.00
TOK,T8546671,TOK30,B15481,968,1025112.00
