Desk,Currency,Positions,NV
HK,AUZ,1076.000,1141198.72
HK,CNX,873.000,584688.81
HK,HKX,867.000,588791.34
HK,JPX,1674.000,1400738.97
HK,SGX,1829.000,2526902.41
HK,USX,2390.000,1946555.00
LON,CNX,2049.000,1990800.86
LON,JPX,983.000,870514.38
LON,SGX,5180.000,7306983.75
LON,USX,629.000,735301.00
NY,AUZ,2780.000,3284207.19
NY,CNX,2025.000,1581803.28
NY,HKX,2324.000,2164967.88
NY,JPX,3291.000,3391769.55
NY,SGX,1774.000,1980200.75
NY,USX,1731.000,1876651.00
SG,AUZ,673.000,557933.06
SG,CNX,1223.000,1206969.78
SG,HKX,324.000,307285.89
SG,JPX,2926.000,3054773.31
SG,SGX,1584.000,1515330.80
SG,USX,839.000,475713.00
SYD,AUZ,836.000,769345.94
SYD,CNX,283.000,371296.00
SYD,USX,684.000,718884.00
TOK,AUZ,2120.000,2293055.12
TOK,CNX,1642.000,1632347.19
TOK,HKX,1446.000,1343655.81
TOK,JPX,1891.000,1347407.69
TOK,SGX,1765.000,2256221.33
TOK,USX,2133.000,2081208.00
