Desk,Trader,Book,BondID,Positions,NV
HK,T2511509,HK00,B17624,655,823990.00
HK,T2511509,HK02,B06888,709,690812.81
HK,T2511509,HK02,B41888,739,1434192.12
HK,T2511509,HK02,B46897,412,345844.56
HK,T2511509,HK03,B20873,841,569357.00
HK,T2511509,HK03,B33825,863,987272.00
HK,T2511509,HK04,B14632,436,477681.59
HK,T2511509,HK04,B26229,994,563598.00
HK,T2511509,HK04,B29832,455,242946.78
HK,T2511509,HK04,B43626,124,140569.16
HK,T6043187,HK30,B26431,873,584688.81
HK,T6908885,HK20,B33456,371,304973.88
HK,T8406272,HK13,B14632,283,310054.81
HK,T8406272,HK13,B26229,371,210357.00
HK,T8406272,HK14,B29512,421,317208.72
HK,T8406272,HK14,B33825,162,185328.00
LON,T6092561,LON11,B43626,449,508996.38
LON,T6092561,LON12,B41888,684,1327452.50
LON,T6092561,LON13,B28599,878,1131987.88
LON,T6092561,LON14,B33456,121,99465.88
LON,T8262384,LON20,B14632,634,694610.38
LON,T8262384,LON20,B28599,431,555679.69
LON,T8262384,LON22,B41888,986,1913549.88
LON,T8262384,LON23,B26431,211,141316.55
LON,T8262384,LON24,B20873,534,361518.00
LON,T8262384,LON25,B14632,607,665029.19
LON,T9992394,LON02,B05627,629,735301.00
LON,T9992394,LON02,B14632,839,919208.38
LON,T9992394,LON02,B26431,875,586028.31
LON,T9992394,LON02,B41686,963,1263456.00
NY,T1784214,NY00,B05627,139,162491.00
NY,T1784214,NY00,B33456,657,540075.00
NY,T1784214,NY01,B47923,231,188265.00
NY,T1784214,NY02,B15481,398,418298.00
NY,T1784214,NY02,B17624,987,1241646.00
NY,T1784214,NY02,B35402,930,748695.06
NY,T1784214,NY02,B46897,618,518766.84
NY,T1784214,NY04,B46897,220,184674.28
NY,T3530032,NY11,B12794,950,1083000.00
NY,T3530032,NY11,B41686,227,297824.00
NY,T3530032,NY13,B26431,802,537136.81
NY,T3530032,NY13,B35604,789,542555.69
NY,T4893648,NY20,B12794,319,363660.00
NY,T4893648,NY23,B06888,368,358560.12
NY,T4893648,NY23,B07010,207,204286.78
NY,T6044270,NY40,B05627,237,277053.00
NY,T6044270,NY41,B28599,550,709104.00
NY,T6044270,NY41,B33825,726,830544.00
NY,T6044270,NY42,B06800,617,600711.19
NY,T6044270,NY42,B06888,147,143229.17
NY,T6044270,NY42,B17624,965,1213970.00
NY,T6044270,NY44,B33152,648,606355.19
NY,T7598783,NY31,B47374,211,227880.00
NY,T7598783,NY33,B00520,556,712831.69
NY,T7598783,NY34,B06888,859,836965.06
NY,T7598783,NY35,B28599,567,731021.75
SG,T4811904,SG10,B07010,224,221063.97
SG,T4811904,SG11,B06800,231,224901.59
SG,T4811904,SG13,B14954,116,110015.94
SG,T4811904,SG13,B29512,442,333031.47
SG,T4811904,SG14,B02116,663,528893.69
SG,T4811904,SG14,B12794,559,637260.00
SG,T6120150,SG20,B33152,420,393008.00
SG,T6120150,SG21,B14632,119,130376.40
SG,T6120150,SG21,B14954,208,197269.95
SG,T6120150,SG22,B07010,999,985905.81
SG,T7006564,SG00,B02116,362,288777.53
SG,T7006564,SG02,B33152,955,893625.31
SG,T7006564,SG03,B12794,992,1130880.00
SG,T7006564,SG03,B28599,440,567283.19
SG,T7006564,SG04,B26229,839,475713.00
SYD,T6669183,SYD11,B15481,684,718884.00
SYD,T6669183,SYD11,B41686,283,371296.00
SYD,T6669183,SYD13,B31426,836,769345.94
TOK,T1100503,TOK21,B00520,480,615394.31
TOK,T1100503,TOK21,B06888,226,220202.69
TOK,T1100503,TOK21,B35604,836,574875.19
TOK,T1100503,TOK22,B26229,485,274995.00
TOK,T1100503,TOK22,B29832,155,82762.09
TOK,T1100503,TOK22,B41888,689,1337156.12
TOK,T1100503,TOK23,B00520,284,364108.28
TOK,T1100503,TOK23,B41686,806,1057472.00
TOK,T1100503,TOK24,B20873,858,580866.00
TOK,T1100503,TOK24,B47374,874,943920.00
TOK,T5299896,TOK00,B05627,437,510853.00
TOK,T5299896,TOK01,B17624,131,164798.00
TOK,T5299896,TOK01,B20873,807,546339.00
TOK,T5299896,TOK02,B17624,448,563584.00
TOK,T6583742,TOK10,B06800,130,126568.00
TOK,T6583742,TOK10,B33456,108,88779.45
TOK,T6583742,TOK12,B02116,773,616643.75
TOK,T6583742,TOK12,B33825,243,277992.00
TOK,T6583742,TOK13,B31426,537,494185.12
TOK,T8546671,TOK30,B15481,968,1017368.00
TOK,T8546671,TOK31,B14632,195,213642.00
TOK,T8546671,TOK32,B29832,527,281391.12
