Desk,Trader,Book,Positions,NV
HK,T2511509,HK00,655.000,1386641.38
HK,T2511509,HK02,1860.000,2134399.03
HK,T2511509,HK03,1704.000,1818141.75
HK,T2511509,HK04,1015.000,1157469.55
HK,T6908885,HK20,371.000,397924.28
HK,T8406272,HK13,654.000,599434.31
HK,T8406272,HK14,583.000,755071.81
LON,T6092561,LON13,878.000,729373.62
LON,T6092561,LON14,121.000,129781.23
LON,T8262384,LON20,634.000,801827.00
LON,T8262384,LON22,986.000,1232957.38
LON,T8262384,LON23,211.000,146558.58
LON,T8262384,LON24,534.000,527567.75
LON,T8262384,LON25,607.000,767679.81
LON,T9992394,LON02,3306.000,3069145.50
NY,T1784214,NY00,796.000,867170.94
NY,T1784214,NY01,231.000,188265.00
NY,T1784214,NY02,2003.000,3183876.25
NY,T1784214,NY04,220.000,269015.72
NY,T3530032,NY11,1177.000,1323452.14
NY,T3530032,NY13,1591.000,1119742.88
NY,T4893648,NY20,319.000,391765.84
NY,T4893648,NY23,575.000,601447.22
NY,T6044270,NY40,237.000,277053.00
NY,T6044270,NY41,1276.000,1287440.91
NY,T6044270,NY42,1729.000,3096933.89
NY,T6044270,NY44,648.000,620136.00
NY,T7598783,NY31,211.000,320298.00
NY,T7598783,NY33,556.000,343626.88
NY,T7598783,NY34,859.000,855987.00
NY,T7598783,NY35,567.000,471019.19
SG,T4811904,SG10,224.000,254016.00
SG,T4811904,SG13,558.000,706657.02
SG,T4811904,SG14,1222.000,1286680.12
SG,T6120150,SG20,420.000,401940.00
SG,T6120150,SG21,327.000,345041.09
SG,T6120150,SG22,999.000,1132866.00
SG,T7006564,SG00,362.000,327693.97
SG,T7006564,SG02,955.000,913935.00
SG,T7006564,SG03,440.000,365517.53
SYD,T6669183,SYD11,967.000,777505.34
SYD,T6669183,SYD13,836.000,1411979.62
TOK,T1100503,TOK21,1542.000,1118063.41
TOK,T1100503,TOK22,1329.000,1333778.59
TOK,T1100503,TOK23,1090.000,732092.64
TOK,T1100503,TOK24,1732.000,2174397.00
TOK,T5299896,TOK00,437.000,510853.00
TOK,T5299896,TOK01,938.000,1074607.59
TOK,T5299896,TOK02,448.000,948420.38
TOK,T6583742,TOK10,238.000,307052.66
TOK,T6583742,TOK12,1016.000,977736.31
TOK,T6583742,TOK13,537.000,906977.38
TOK,T8546671,TOK30,968.000,823768.00
TOK,T8546671,TOK31,195.000,246618.72
